brick_id,x,y,z,length,width,height,orientation
488,0,800,3900,200,100,100,X-aligned
489,0,800,4000,200,100,100,X-aligned
490,0,800,4100,200,100,100,X-aligned
491,0,800,4200,200,100,100,X-aligned
492,0,800,4300,200,100,100,X-aligned
493,0,800,4400,200,100,100,X-aligned
494,0,800,4500,200,100,100,X-aligned
495,0,800,4600,200,100,100,X-aligned
496,0,800,4700,200,100,100,X-aligned
497,0,800,4800,200,100,100,X-aligned
498,0,800,4900,200,100,100,X-aligned
499,0,800,5000,200,100,100,X-aligned
500,0,800,5100,200,100,100,X-aligned
501,0,800,5200,200,100,100,X-aligned
502,0,800,5300,200,100,100,X-aligned
503,0,800,5400,200,100,100,X-aligned
504,0,800,5500,200,100,100,X-aligned
505,0,900,0,200,100,100,X-aligned
506,0,900,100,200,100,100,X-aligned
507,0,900,200,200,100,100,X-aligned
508,0,900,300,200,100,100,X-aligned
509,0,900,400,200,100,100,X-aligned
510,0,900,500,200,100,100,X-aligned
511,0,900,600,200,100,100,X-aligned
512,0,900,700,200,100,100,X-aligned
513,0,900,800,200,100,100,X-aligned
514,0,900,900,200,100,100,X-aligned
515,0,900,1000,200,100,100,X-aligned
516,0,900,1100,200,100,100,X-aligned
517,0,900,1200,200,100,100,X-aligned
518,0,900,1300,200,100,100,X-aligned
519,0,900,1400,200,100,100,X-aligned
520,0,900,1500,200,100,100,X-aligned
521,0,900,1600,200,100,100,X-aligned
522,0,900,1700,200,100,100,X-aligned
523,0,900,1800,200,100,100,X-aligned
524,0,900,1900,200,100,100,X-aligned
525,0,900,2000,200,100,100,X-aligned
526,0,900,2100,200,100,100,X-aligned
527,0,900,2200,200,100,100,X-aligned
528,0,900,2300,200,100,100,X-aligned
529,0,900,2400,200,100,100,X-aligned
530,0,900,2500,200,100,100,X-aligned
531,0,900,2600,200,100,100,X-aligned
532,0,900,2700,200,100,100,X-aligned
533,0,900,2800,200,100,100,X-aligned
534,0,900,2900,200,100,100,X-aligned
535,0,900,3000,200,100,100,X-aligned
536,0,900,3100,200,100,100,X-aligned
537,0,900,3200,200,100,100,X-aligned
538,0,900,3300,200,100,100,X-aligned
539,0,900,3400,200,100,100,X-aligned
540,0,900,3500,200,100,100,X-aligned
541,0,900,3600,200,100,100,X-aligned
542,0,900,3700,200,100,100,X-aligned
543,0,900,3800,200,100,100,X-aligned
544,0,900,3900,200,100,100,X-aligned
545,0,900,4000,200,100,100,X-aligned
546,0,900,4100,200,100,100,X-aligned
547,0,900,4200,200,100,100,X-aligned
548,0,900,4300,200,100,100,X-aligned
549,0,900,4400,200,100,100,X-aligned
550,0,900,4500,200,100,100,X-aligned
551,0,900,4600,200,100,100,X-aligned
552,0,900,4700,200,100,100,X-aligned
553,0,900,4800,200,100,100,X-aligned
554,0,900,4900,200,100,100,X-aligned
555,0,900,5000,200,100,100,X-aligned
556,0,900,5100,200,100,100,X-aligned
557,0,900,5200,200,100,100,X-aligned
558,0,900,5300,200,100,100,X-aligned
559,0,900,5400,200,100,100,X-aligned
560,0,900,5500,200,100,100,X-aligned
561,0,1000,0,200,100,100,X-aligned
562,0,1000,100,200,100,100,X-aligned
563,0,1000,200,200,100,100,X-aligned
564,0,1000,300,200,100,100,X-aligned
565,0,1000,400,200,100,100,X-aligned
566,0,1000,500,200,100,100,X-aligned
567,0,1000,600,200,100,100,X-aligned
568,0,1000,700,200,100,100,X-aligned
569,0,1000,800,200,100,100,X-aligned
570,0,1000,900,200,100,100,X-aligned
571,0,1000,1000,200,100,100,X-aligned
572,0,1000,1100,200,100,100,X-aligned
573,0,1000,1200,200,100,100,X-aligned
574,0,1000,1300,200,100,100,X-aligned
575,0,1000,1400,200,100,100,X-aligned
576,0,1000,1500,200,100,100,X-aligned
577,0,1000,1600,200,100,100,X-aligned
578,0,1000,1700,200,100,100,X-aligned
579,0,1000,1800,200,100,100,X-aligned
580,0,1000,1900,200,100,100,X-aligned
581,0,1000,2000,200,100,100,X-aligned
582,0,1000,2100,200,100,100,X-aligned
583,0,1000,2200,200,100,100,X-aligned
584,0,1000,2300,200,100,100,X-aligned
585,0,1000,2400,200,100,100,X-aligned
586,0,1000,2500,200,100,100,X-aligned
587,0,1000,2600,200,100,100,X-aligned
588,0,1000,2700,200,100,100,X-aligned
589,0,1000,2800,200,100,100,X-aligned
590,0,1000,2900,200,100,100,X-aligned
591,0,1000,3000,200,100,100,X-aligned
592,0,1000,3100,200,100,100,X-aligned
593,0,1000,3200,200,100,100,X-aligned
594,0,1000,3300,200,100,100,X-aligned
595,0,1000,3400,200,100,100,X-aligned
596,0,1000,3500,200,100,100,X-aligned
597,0,1000,3600,200,100,100,X-aligned
598,0,1000,3700,200,100,100,X-aligned
599,0,1000,3800,200,100,100,X-aligned
600,0,1000,3900,200,100,100,X-aligned
601,0,1000,4000,200,100,100,X-aligned
602,0,1000,4100,200,100,100,X-aligned
603,0,1000,4200,200,100,100,X-aligned
604,0,1000,4300,200,100,100,X-aligned
605,0,1000,4400,200,100,100,X-aligned
606,0,1000,4500,200,100,100,X-aligned
607,0,1000,4600,200,100,100,X-aligned
608,0,1000,4700,200,100,100,X-aligned
609,0,1000,4800,200,100,100,X-aligned
610,0,1000,4900,200,100,100,X-aligned
611,0,1000,5000,200,100,100,X-aligned
612,0,1000,5100,200,100,100,X-aligned
613,0,1000,5200,200,100,100,X-aligned
614,0,1000,5300,200,100,100,X-aligned
615,0,1000,5400,200,100,100,X-aligned
616,0,1000,5500,200,100,100,X-aligned
617,0,1100,0,200,100,100,X-aligned
618,0,1100,100,200,100,100,X-aligned
619,0,1100,200,200,100,100,X-aligned
620,0,1100,300,200,100,100,X-aligned
621,0,1100,400,200,100,100,X-aligned
622,0,1100,500,200,100,100,X-aligned
623,0,1100,600,200,100,100,X-aligned
624,0,1100,700,200,100,100,X-aligned
625,0,1100,800,200,100,100,X-aligned
626,0,1100,900,200,100,100,X-aligned
627,0,1100,1000,200,100,100,X-aligned
628,0,1100,1100,200,100,100,X-aligned
629,0,1100,1200,200,100,100,X-aligned
630,0,1100,1300,200,100,100,X-aligned
631,0,1100,1400,200,100,100,X-aligned
632,0,1100,1500,200,100,100,X-aligned
633,0,1100,1600,200,100,100,X-aligned
634,0,1100,1700,200,100,100,X-aligned
635,0,1100,1800,200,100,100,X-aligned
636,0,1100,1900,200,100,100,X-aligned
637,0,1100,2000,200,100,100,X-aligned
638,0,1100,2100,200,100,100,X-aligned
639,0,1100,2200,200,100,100,X-aligned
640,0,1100,2300,200,100,100,X-aligned
641,0,1100,2400,200,100,100,X-aligned
642,0,1100,2500,200,100,100,X-aligned
643,0,1100,2600,200,100,100,X-aligned
644,0,1100,2700,200,100,100,X-aligned
645,0,1100,2800,200,100,100,X-aligned
646,0,1100,2900,200,100,100,X-aligned
647,0,1100,3000,200,100,100,X-aligned
648,0,1100,3100,200,100,100,X-aligned
649,0,1100,3200,200,100,100,X-aligned
650,0,1100,3300,200,100,100,X-aligned
651,0,1100,3400,200,100,100,X-aligned
652,0,1100,3500,200,100,100,X-aligned
653,0,1100,3600,200,100,100,X-aligned
654,0,1100,3700,200,100,100,X-aligned
655,0,1100,3800,200,100,100,X-aligned
656,0,1100,3900,200,100,100,X-aligned
657,0,1100,4000,200,100,100,X-aligned
658,0,1100,4100,200,100,100,X-aligned
659,0,1100,4200,200,100,100,X-aligned
660,0,1100,4300,200,100,100,X-aligned
661,0,1100,4400,200,100,100,X-aligned
